# source=SYNTHETIC - NOT NPCI DATA
# These figures are INVENTED for the demo. They are shaped like NPCI's monthly
# UPI BD/TD & uptime table (https://www.npci.org.in/statistics/bd-td-and-uptime)
# but no value here was transcribed from NPCI. Any report using this file MUST
# display the synthetic-data banner. Replace with a real monthly transcription
# before quoting any number externally.
# schema: bank,month,td_pct,bd_pct,uptime_pct
bank,month,td_pct,bd_pct,uptime_pct
State Bank of India,2026-08,1.90,14.20,97.10
HDFC Bank,2026-08,0.42,9.10,99.60
ICICI Bank,2026-08,0.55,9.40,99.40
Axis Bank,2026-08,0.88,10.30,99.10
Kotak Mahindra Bank,2026-08,0.61,9.80,99.35
Punjab National Bank,2026-08,1.55,13.60,97.80
Bank of Baroda,2026-08,1.28,12.90,98.20
Canara Bank,2026-08,1.72,13.10,97.50
Union Bank of India,2026-08,1.64,13.40,97.60
IndusInd Bank,2026-08,0.79,10.10,99.00
Yes Bank,2026-08,0.93,10.60,98.85
IDFC First Bank,2026-08,0.68,9.90,99.20
Federal Bank,2026-08,0.58,9.50,99.30
Paytm Payments Bank,2026-08,2.40,15.80,96.40
